ID,Marital Status,Gender,Yearly Income,Children,Education,Occupation,Home Owner,Cars,Commute Distance,Region,Age,BikeBuyer,Scored Labels,Scored Probabilities,ID (2),Latitude,Longitude,City,Zip Code,Country
20927,Single,Female,20000,5,High School,Manual,Yes,2,0-1 Miles,Europe,27,No,No,0.0288530699908733,20927,18.36838,-176.06515,Pembroke,K2V 2LO,United Kingdom
28126,Married,Female,60000,0,Partial College,Skilled Manual,Yes,2,5-10 Miles,North America,31,No,No,0.000223708819248714,28126,,,"","",""
22477,Single,Male,20000,2,High School,Manual,Yes,0,0-1 Miles,Europe,40,Yes,No,0.142066180706024,22477,-39.44704,0.15474,Warminster,JB4D 4DL,United Kingdom
28361,Married,Female,60000,0,Graduate Degree,Professional,No,0,0-1 Miles,North America,41,No,No,0.0639702826738358,28361,,,"","",""
22217,Married,Male,70000,0,Partial High School,Skilled Manual,No,2,1-2 Miles,North America,48,No,No,0.0072736986912787,22217,,,"","",""
22348,Married,Female,30000,0,High School,Skilled Manual,Yes,2,1-2 Miles,North America,50,No,No,0.034966241568327,22348,,,"","",""
15759,Married,Female,80000,0,Bachelors,Management,No,1,0-1 Miles,North America,33,No,No,0.0275315344333649,15759,,,"","",""
16003,Married,Female,130000,3,Graduate Degree,Management,Yes,3,2-5 Miles,North America,69,No,No,0.00108710688073188,16003,,,"","",""
12656,Married,Male,90000,1,High School,Management,Yes,3,10+ Miles,Europe,57,No,No,0.00291198049671948,12656,81.43426,100.61993,Inverbervie,SF4H 6LX,United Kingdom
12227,Married,Female,10000,0,Partial College,Manual,Yes,0,0-1 Miles,Europe,49,No,No,0.001348543795757,12227,83.52652,-153.19509,Perpignan,14208,France
29107,Single,Female,40000,0,High School,Skilled Manual,Yes,2,5-10 Miles,North America,31,No,No,0.000266398943495005,29107,,,"","",""
20010,Married,Male,70000,0,Graduate Degree,Professional,Yes,0,2-5 Miles,North America,39,No,Yes,0.982962310314178,20010,,,"","",""
28140,Single,Male,100000,1,Bachelors,Management,Yes,3,2-5 Miles,Pacific,47,No,No,0.0392758622765541,28140,,,"","",""
27032,Single,Male,30000,0,High School,Clerical,Yes,2,1-2 Miles,North America,51,No,No,0.010547879152,27032,,,"","",""
13381,Married,Female,60000,1,Bachelors,Management,Yes,0,10+ Miles,North America,57,No,Yes,0.635519623756409,13381,,,"","",""
20325,Single,Male,130000,2,Bachelors,Management,No,4,1-2 Miles,North America,43,No,No,0.000402292615035549,20325,,,"","",""
11980,Single,Female,60000,0,High School,Professional,No,2,1-2 Miles,North America,48,No,No,0.0122469868510962,11980,,,"","",""
19733,Married,Female,60000,0,Graduate Degree,Management,Yes,2,1-2 Miles,North America,67,No,No,0.00102632050402462,19733,,,"","",""
24962,Married,Male,40000,1,High School,Professional,Yes,1,2-5 Miles,North America,59,No,No,0.0149368150159717,24962,,,"","",""
11532,Married,Female,40000,0,Partial College,Clerical,Yes,1,1-2 Miles,North America,49,No,No,0.076555535197258,11532,,,"","",""
26847,Single,Male,20000,3,High School,Manual,No,0,0-1 Miles,Europe,42,No,No,0.00103776343166828,26847,-76.53481,-29.33395,Cannock,XL9M 2MJ,United Kingdom
14907,Married,Female,40000,0,Partial College,Clerical,Yes,1,1-2 Miles,North America,50,No,No,0.00601285789161921,14907,,,"","",""
22060,Married,Male,40000,0,Partial College,Skilled Manual,Yes,1,5-10 Miles,North America,28,No,No,0.00041828365647234,22060,,,"","",""
17145,Single,Female,60000,1,Partial College,Professional,Yes,2,10+ Miles,North America,58,No,No,0.0115131260827184,17145,,,"","",""
18419,Married,Female,120000,3,High School,Professional,Yes,4,2-5 Miles,North America,45,No,No,0.00168238917831331,18419,,,"","",""
17832,Married,Male,30000,0,Partial College,Clerical,Yes,1,2-5 Miles,Europe,43,No,No,0.0718140006065369,17832,53.23846,113.5382,King's Lynn,BJ2Q 7HP,United Kingdom
13547,Single,Female,10000,2,High School,Manual,Yes,0,0-1 Miles,Europe,37,No,No,0.00571771385148168,13547,66.29351,-132.8838,Bremen,7683,Germany
18342,Single,Female,40000,0,Partial College,Skilled Manual,Yes,1,5-10 Miles,North America,30,No,No,0.000348769332049415,18342,,,"","",""
13928,Married,Male,60000,2,Graduate Degree,Professional,Yes,0,0-1 Miles,North America,43,No,No,0.0487835817039013,13928,,,"","",""
24657,Married,Female,40000,1,High School,Professional,Yes,2,10+ Miles,North America,59,No,No,0.000231232712394558,24657,,,"","",""
14942,Single,Female,30000,1,Bachelors,Clerical,No,1,1-2 Miles,Europe,40,No,No,0.0119620561599731,14942,-14.65798,-80.28833,Saint-L�,33736,France
19221,Married,Female,30000,0,High School,Skilled Manual,Yes,2,1-2 Miles,North America,49,No,No,0.0377910695970058,19221,,,"","",""
17391,Single,Female,100000,2,Partial College,Professional,Yes,0,2-5 Miles,North America,42,No,Yes,0.693684220314026,17391,,,"","",""
29396,Married,Male,30000,0,Bachelors,Skilled Manual,No,1,0-1 Miles,Europe,72,No,No,0.000694095913786441,29396,84.11316,-110.80185,Schwerin,221,Germany
27844,Married,Male,10000,0,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,70,No,No,1.27569978758402E-06,27844,56.68285,-43.91865,Hastings,OQ6O 6CW,United Kingdom
15091,Married,Male,20000,1,Partial College,Manual,Yes,0,2-5 Miles,Europe,38,No,No,0.00489716744050384,15091,-59.9787,-154.83386,Wei?enfels,59590,Germany
28135,Single,Female,70000,0,High School,Skilled Manual,No,2,1-2 Miles,Pacific,49,Yes,Yes,0.999867141246796,28135,,,"","",""
28788,Married,Female,30000,0,High School,Skilled Manual,Yes,2,1-2 Miles,North America,49,No,No,0.00140959687996656,28788,,,"","",""
25656,Married,Female,40000,0,Bachelors,Skilled Manual,Yes,0,0-1 Miles,Europe,44,Yes,Yes,0.997421443462372,25656,69.9783,-157.58289,Hornsea,O88 6CY,United Kingdom
14826,Married,Female,20000,4,High School,Manual,No,2,0-1 Miles,Europe,27,No,No,3.99265481973998E-05,14826,-79.28253,110.72508,Blieskastel,43806,Germany
16064,Married,Female,50000,1,Bachelors,Skilled Manual,Yes,1,0-1 Miles,North America,37,No,No,0.0230743363499641,16064,,,"","",""
16477,Single,Female,40000,0,Partial High School,Clerical,No,2,1-2 Miles,North America,29,No,No,0.00111836649011821,16477,,,"","",""
17806,Married,Male,20000,2,High School,Manual,No,2,0-1 Miles,Europe,42,No,No,4.25197613367345E-05,17806,78.71724,168.34363,Hexham,E1Z 5MT,United Kingdom
15316,Married,Female,60000,0,Bachelors,Management,Yes,3,2-5 Miles,North America,59,No,No,0.0191268771886826,15316,,,"","",""
26438,Married,Female,130000,5,High School,Management,Yes,4,0-1 Miles,Pacific,33,Yes,No,0.0932002887129784,26438,,,"","",""
18499,Single,Male,60000,0,Partial College,Professional,Yes,2,5-10 Miles,North America,32,No,No,0.00098645337857306,18499,,,"","",""
25807,Married,Female,90000,0,Partial High School,Skilled Manual,Yes,2,10+ Miles,Europe,59,No,No,3.20312283292878E-05,25807,52.47479,-54.88831,Ahrensburg,47409,Germany
27639,Single,Female,100000,2,Partial College,Professional,No,4,1-2 Miles,North America,44,No,No,0.000282507797237486,27639,,,"","",""
13395,Married,Male,70000,1,High School,Professional,Yes,2,2-5 Miles,North America,55,No,No,0.109134182333946,13395,,,"","",""
29089,Single,Male,40000,0,Bachelors,Professional,Yes,2,5-10 Miles,North America,26,No,No,0.0132237486541271,29089,,,"","",""
19513,Married,Male,20000,0,Partial High School,Manual,Yes,2,0-1 Miles,Europe,32,No,No,0.000274699734291062,19513,26.95206,-31.52857,Chesterfield,HO6 5MR,United Kingdom
27281,Single,Female,70000,2,Bachelors,Skilled Manual,No,1,0-1 Miles,North America,37,Yes,Yes,0.914211511611938,27281,,,"","",""
26813,Single,Male,50000,4,Bachelors,Skilled Manual,No,1,0-1 Miles,North America,41,No,No,0.00103078002575785,26813,,,"","",""
17168,Single,Female,60000,1,High School,Professional,Yes,2,10+ Miles,North America,55,No,No,0.00456247152760625,17168,,,"","",""
15766,Single,Female,160000,0,Graduate Degree,Management,No,1,0-1 Miles,Pacific,47,No,Yes,0.999816417694092,15766,,,"","",""
19637,Single,Male,40000,0,High School,Skilled Manual,No,2,0-1 Miles,North America,30,No,No,0.000227915705181658,19637,,,"","",""
27851,Married,Female,20000,0,Bachelors,Clerical,No,0,0-1 Miles,Europe,68,No,No,1.24202533697826E-05,27851,-60.73597,-118.02461,Belfort,97097,France
22018,Married,Male,40000,0,Bachelors,Management,Yes,2,0-1 Miles,Pacific,69,No,No,0.000373378046788275,22018,,,"","",""
15095,Married,Female,70000,1,High School,Professional,No,2,2-5 Miles,Europe,61,Yes,No,0.000219263747567311,15095,-80.54552,-68.68383,Alva,FZ0 6WU,United Kingdom
19485,Single,Male,30000,2,Partial College,Clerical,Yes,1,0-1 Miles,Europe,41,No,No,0.0231268964707851,19485,20.7379,-95.91451,Belfort,56660,France
27754,Single,Male,50000,0,Partial College,Skilled Manual,No,1,1-2 Miles,North America,32,No,No,0.0080129886046052,27754,,,"","",""
19935,Married,Male,100000,4,Partial College,Professional,Yes,4,10+ Miles,Europe,54,No,No,0.000110064676846378,19935,-55.76986,-142.15312,Albi,73876,France
12525,Married,Female,40000,1,Bachelors,Skilled Manual,Yes,0,1-2 Miles,Europe,31,No,No,0.41536009311676,12525,62.0681,157.2949,Osnabr?ck,97703,Germany
28498,Single,Female,10000,1,High School,Manual,No,1,2-5 Miles,Europe,47,No,No,0.000572630378883332,28498,-68.09428,26.29223,Tranent,B48 5BY,United Kingdom
18230,Married,Female,60000,4,Bachelors,Professional,Yes,1,0-1 Miles,North America,47,No,No,0.00580717949196696,18230,,,"","",""
12665,Married,Female,60000,0,Bachelors,Professional,Yes,4,10+ Miles,Pacific,31,No,Yes,0.801397383213043,12665,,,"","",""
12721,Single,Female,30000,0,Partial College,Clerical,No,1,1-2 Miles,Europe,32,No,No,0.000427698250859976,12721,-32.973,117.6383,Lisieux,68784,France
13207,Married,Male,70000,0,Bachelors,Management,Yes,2,10+ Miles,North America,61,No,Yes,0.982609152793884,13207,,,"","",""
13830,Single,Female,30000,0,Partial College,Clerical,No,1,2-5 Miles,Europe,29,No,No,0.00178323115687817,13830,63.94573,-169.74149,Hamburg,45932,Germany
13725,Married,Male,40000,0,Partial College,Clerical,Yes,1,0-1 Miles,North America,52,Yes,Yes,0.921167612075806,13725,,,"","",""
11637,Married,Female,70000,0,Graduate Degree,Professional,Yes,0,2-5 Miles,North America,34,No,No,0.000248652911977842,11637,,,"","",""
12905,Married,Female,60000,0,Graduate Degree,Professional,Yes,0,0-1 Miles,North America,37,No,No,0.00627183774486184,12905,,,"","",""
13026,Single,Female,10000,1,Partial High School,Clerical,Yes,2,5-10 Miles,Pacific,58,No,No,0.29234316945076,13026,,,"","",""
13635,Married,Male,80000,0,Bachelors,Professional,Yes,4,10+ Miles,Pacific,35,No,No,0.00153419282287359,13635,,,"","",""
12985,Married,Female,70000,4,Graduate Degree,Professional,Yes,0,2-5 Miles,North America,48,No,No,9.47209482546896E-05,12985,,,"","",""
14280,Single,Male,80000,0,Bachelors,Management,No,1,2-5 Miles,North America,33,No,No,0.00599805358797312,14280,,,"","",""
17899,Married,Female,20000,0,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,65,No,No,0.108310744166374,17899,-42.37841,157.57529,Darlington,O5 2SN,United Kingdom
27519,Single,Male,110000,1,Bachelors,Management,No,4,0-1 Miles,Pacific,47,No,No,0.000153729954035953,27519,,,"","",""
20082,Single,Female,20000,0,High School,Manual,Yes,2,1-2 Miles,North America,53,No,No,0.0739358365535736,20082,,,"","",""
21967,Married,Male,60000,2,Bachelors,Professional,Yes,1,2-5 Miles,Pacific,41,No,No,0.151430919766426,21967,,,"","",""
17250,Married,Female,150000,5,Partial High School,Professional,Yes,4,10+ Miles,Pacific,34,No,No,0.279591113328934,17250,,,"","",""
12629,Single,Male,20000,1,Partial College,Manual,No,0,0-1 Miles,Europe,37,No,No,0.00407990533858538,12629,-45.8261,-68.18524,Harlow,E48 5IC,United Kingdom
18151,Single,Male,80000,0,Partial College,Professional,No,2,10+ Miles,Europe,60,No,No,0.000237124593695626,18151,-26.45313,-139.96944,H�rouville-Saint-Clair,30500,France
24339,Single,Female,40000,3,High School,Skilled Manual,Yes,3,2-5 Miles,North America,45,Yes,Yes,0.77258425951004,24339,,,"","",""
11415,Single,Male,90000,0,Partial College,Professional,No,2,10+ Miles,Europe,62,No,No,0.00404626969248056,11415,-67.35614,-66.70167,Moffat,OT2Q 5LG,United Kingdom
21143,Married,Female,60000,0,Partial College,Skilled Manual,Yes,1,2-5 Miles,North America,45,Yes,Yes,0.981468498706818,21143,,,"","",""
12555,Married,Male,10000,0,Bachelors,Clerical,Yes,1,2-5 Miles,Europe,67,No,No,5.6381024478469E-05,12555,0.91146,-119.11984,Bolton,W8 1BS,United Kingdom
24858,Married,Male,130000,4,High School,Professional,Yes,4,0-1 Miles,Europe,52,No,No,0.000298833328997716,24858,-63.23284,138.71179,Hexham,SD5G 8JJ,United Kingdom
22420,Single,Male,10000,1,High School,Manual,No,1,1-2 Miles,Europe,47,No,No,0.00248665385879576,22420,-76.20747,-162.75282,Pau,90813,France
18306,Married,Female,70000,4,Partial College,Skilled Manual,No,3,5-10 Miles,Pacific,46,No,No,8.74170746101299E-06,18306,,,"","",""
21273,Married,Female,100000,0,Bachelors,Management,Yes,3,1-2 Miles,North America,38,No,No,0.000440954725490883,21273,,,"","",""
11850,Single,Female,50000,2,Bachelors,Skilled Manual,Yes,2,2-5 Miles,North America,42,No,No,0.00178209389559925,11850,,,"","",""
17709,Married,Male,20000,0,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,45,No,No,0.00124159501865506,17709,-65.13822,45.73939,Brighton,GU7R 3FU,United Kingdom
28594,Single,Female,20000,0,Partial High School,Clerical,Yes,2,1-2 Miles,North America,51,No,No,0.000231421348871663,28594,,,"","",""
16633,Married,Female,100000,5,High School,Management,Yes,4,10+ Miles,Pacific,34,No,No,0.0177366100251675,16633,,,"","",""
12366,Married,Female,80000,0,Bachelors,Management,Yes,2,5-10 Miles,North America,64,No,No,0.00171874149236828,12366,,,"","",""
24516,Single,Female,40000,0,High School,Skilled Manual,Yes,2,5-10 Miles,North America,31,No,No,0.000421715114498511,24516,,,"","",""
15593,Married,Female,70000,5,Bachelors,Professional,Yes,4,10+ Miles,Pacific,39,No,No,0.0394149385392666,15593,,,"","",""
22533,Married,Male,20000,0,Partial High School,Manual,No,2,0-1 Miles,Europe,32,No,No,7.01431199559011E-05,22533,60.53852,-97.85764,Karlsruhe,2930,Germany
25185,Single,Female,130000,3,Bachelors,Management,No,3,2-5 Miles,North America,45,Yes,No,0.486685544252396,25185,,,"","",""
21881,Single,Female,80000,0,Bachelors,Professional,No,3,10+ Miles,Pacific,31,No,No,0.000351806054823101,21881,,,"","",""
20053,Single,Male,40000,2,Partial College,Clerical,Yes,0,0-1 Miles,Europe,34,No,No,0.0225993078202009,20053,28.17794,23.90339,Rodgau,68906,Germany
21077,Single,Female,10000,2,Partial High School,Manual,Yes,2,0-1 Miles,Europe,42,No,No,0.000974607188254595,21077,87.96413,57.92899,Crawley,O28 0VA,United Kingdom
24822,Married,Female,70000,5,Graduate Degree,Professional,Yes,3,10+ Miles,North America,37,No,No,6.63054524920881E-05,24822,,,"","",""
11586,Married,Male,40000,0,Bachelors,Skilled Manual,Yes,0,0-1 Miles,Europe,40,No,No,0.0695816799998283,11586,-44.1101,78.04815,Montigny-l�s-Metz,47571,France
22224,Married,Female,90000,0,Partial College,Professional,Yes,1,2-5 Miles,North America,49,Yes,No,0.152593001723289,22224,,,"","",""
19358,Single,Male,20000,0,High School,Manual,Yes,1,2-5 Miles,Europe,28,No,No,0.000460104027297348,19358,7.67531,-7.16879,Neustadt,3617,Germany
11670,Single,Female,70000,2,Bachelors,Skilled Manual,Yes,1,2-5 Miles,North America,39,No,No,0.00105403992347419,11670,,,"","",""
28912,Married,Male,100000,4,Partial College,Management,Yes,4,10+ Miles,Europe,56,No,No,1.93291998584755E-05,28912,23.78226,-178.45823,Berlin,42392,Germany
17748,Single,Male,10000,1,High School,Manual,No,1,1-2 Miles,Europe,47,No,No,0.0224605891853571,17748,14.28799,52.38674,Rennes,27973,France
21872,Single,Female,60000,0,Bachelors,Professional,No,4,2-5 Miles,Pacific,30,No,No,0.00101876747794449,21872,,,"","",""
17224,Married,Female,90000,1,Partial High School,Skilled Manual,Yes,4,10+ Miles,Europe,58,No,No,0.000181142488145269,17224,34.43178,137.21022,Naumburg,95045,Germany
19329,Single,Female,20000,2,High School,Manual,Yes,0,0-1 Miles,Europe,41,Yes,No,0.0107775637879968,19329,18.72249,82.07073,Ajaccio,43423,France
14172,Single,Female,130000,4,Bachelors,Management,No,4,0-1 Miles,Europe,62,No,No,0.000555738981347531,14172,78.5103,20.76409,Poitiers,16153,France
26794,Married,Female,40000,0,High School,Skilled Manual,Yes,2,5-10 Miles,North America,26,No,No,0.000338066252879798,26794,,,"","",""
12844,Married,Male,40000,0,Bachelors,Skilled Manual,Yes,0,0-1 Miles,Europe,41,No,No,0.00147193891461939,12844,85.39064,42.99582,Hamburg,12690,Germany
16037,Married,Female,10000,0,Bachelors,Manual,Yes,0,0-1 Miles,Europe,45,No,No,0.000276888895314187,16037,-11.07786,-9.12039,Ross-on-Wye,EA9 0AN,United Kingdom
21713,Single,Male,80000,0,Graduate Degree,Skilled Manual,No,0,0-1 Miles,North America,47,No,No,0.00828102044761181,21713,,,"","",""
21074,Married,Female,30000,1,Bachelors,Skilled Manual,Yes,2,0-1 Miles,Europe,41,No,No,0.0219264831393957,21074,-60.42652,129.88702,Nantes,2214,France
22144,Married,Male,60000,0,Graduate Degree,Management,Yes,2,1-2 Miles,North America,65,No,No,0.000786666059866548,22144,,,"","",""
13378,Married,Female,70000,1,Partial College,Professional,Yes,2,1-2 Miles,North America,58,Yes,No,0.0750716179609299,13378,,,"","",""
17041,Married,Male,60000,0,Bachelors,Professional,Yes,1,2-5 Miles,North America,48,Yes,Yes,0.968891799449921,17041,,,"","",""
24435,Married,Female,70000,0,Graduate Degree,Management,Yes,2,5-10 Miles,North America,53,No,No,0.344618260860443,24435,,,"","",""
13628,Married,Female,110000,5,Partial College,Management,Yes,3,10+ Miles,Pacific,32,No,No,0.0850546807050705,13628,,,"","",""
26524,Married,Male,60000,1,Partial College,Professional,Yes,2,10+ Miles,North America,55,No,No,0.000346159591572359,26524,,,"","",""
14410,Married,Female,70000,2,Partial College,Professional,Yes,1,1-2 Miles,North America,56,No,No,0.00817311368882656,14410,,,"","",""
20635,Married,Male,110000,2,Bachelors,Management,Yes,4,1-2 Miles,North America,42,No,No,0.000241028959862888,20635,,,"","",""
15478,Married,Female,60000,0,Graduate Degree,Professional,Yes,0,0-1 Miles,North America,35,No,No,0.00961001869291067,15478,,,"","",""
16275,Married,Female,20000,2,High School,Manual,No,2,0-1 Miles,Europe,42,Yes,No,4.28053681389429E-05,16275,-14.28468,-83.0796,Quickborn,37858,Germany
22021,Single,Male,30000,0,Partial High School,Clerical,No,2,5-10 Miles,North America,29,No,No,9.07758658286184E-05,22021,,,"","",""
20766,Married,Male,40000,0,Partial College,Clerical,Yes,1,0-1 Miles,North America,48,No,No,0.0122136073186994,20766,,,"","",""
19755,Married,Female,40000,0,Partial College,Skilled Manual,Yes,2,5-10 Miles,North America,29,No,No,0.000218294677324593,19755,,,"","",""
20512,Married,Female,70000,1,Partial College,Professional,Yes,1,2-5 Miles,North America,59,No,No,0.0173858236521482,20512,,,"","",""
13611,Married,Male,90000,1,High School,Management,Yes,3,10+ Miles,Europe,58,No,No,0.00217307871207595,13611,79.72354,24.40365,Whitehaven,JL9R 1IB,United Kingdom
19317,Single,Female,20000,1,Partial College,Manual,No,1,2-5 Miles,Europe,39,No,Yes,0.62482738494873,19317,66.12784,52.3464,S�te,1401,France
14095,Married,Female,40000,0,High School,Skilled Manual,Yes,2,5-10 Miles,North America,30,Yes,No,0.0054660877212882,14095,,,"","",""
15034,Single,Male,10000,1,High School,Manual,No,0,2-5 Miles,Pacific,27,No,Yes,0.750812172889709,15034,,,"","",""
27703,Single,Female,90000,0,Bachelors,Professional,No,1,1-2 Miles,Pacific,47,No,No,0.189880177378654,27703,,,"","",""
24373,Married,Male,60000,2,Bachelors,Professional,Yes,1,2-5 Miles,Pacific,41,No,No,0.205937340855598,24373,,,"","",""
12488,Single,Male,20000,3,High School,Manual,Yes,2,0-1 Miles,Europe,43,No,No,0.00527389440685511,12488,-28.19666,-60.36529,Schwerin,49360,Germany
14909,Married,Male,40000,0,Partial College,Clerical,Yes,1,0-1 Miles,North America,50,No,No,0.0017202707240358,14909,,,"","",""
14963,Married,Female,40000,0,Bachelors,Skilled Manual,Yes,0,0-1 Miles,Europe,41,No,No,0.014036962762475,14963,-37.82078,48.8693,Sarreguemines,42139,France
12818,Married,Male,20000,1,High School,Manual,Yes,1,2-5 Miles,Europe,40,No,No,0.00242089387029409,12818,14.97168,95.29793,Clackmannan,KT2R 2KZ,United Kingdom
24895,Married,Male,70000,0,Bachelors,Professional,No,4,10+ Miles,Pacific,32,No,No,4.5055671762384E-06,24895,,,"","",""
23298,Single,Male,40000,0,Graduate Degree,Skilled Manual,No,0,0-1 Miles,North America,33,No,No,0.0185742061585188,23298,,,"","",""
28844,Single,Female,70000,2,Bachelors,Skilled Manual,Yes,0,2-5 Miles,North America,38,Yes,Yes,0.998797059059143,28844,,,"","",""
13694,Single,Female,30000,0,High School,Manual,Yes,1,2-5 Miles,Europe,34,No,No,0.0113483117893338,13694,-35.00471,133.60735,Drancy,92116,France
28888,Married,Female,80000,0,Bachelors,Management,Yes,2,10+ Miles,Europe,62,No,No,1.29378868223284E-05,28888,-65.20912,55.14096,Kingussie,QP9G 4DM,United Kingdom
23768,Single,Male,10000,0,Partial High School,Manual,Yes,2,1-2 Miles,Europe,35,No,No,0.000305106048472226,23768,54.55638,38.72934,Inveraray,T12 4JQ,United Kingdom
14754,Married,Male,40000,0,Partial College,Clerical,Yes,1,1-2 Miles,North America,48,Yes,No,0.289857029914856,14754,,,"","",""
11860,Married,Female,70000,0,Partial College,Skilled Manual,Yes,1,2-5 Miles,North America,44,No,No,0.000980526092462242,11860,,,"","",""
28303,Single,Male,60000,3,Bachelors,Professional,Yes,2,5-10 Miles,Pacific,41,No,No,0.000829478201922029,28303,,,"","",""
11508,Single,Female,60000,0,Graduate Degree,Skilled Manual,Yes,0,1-2 Miles,North America,40,No,No,0.0904937535524368,11508,,,"","",""
28866,Single,Male,50000,0,Partial College,Skilled Manual,Yes,1,5-10 Miles,North America,32,No,No,8.45388931338675E-05,28866,,,"","",""
11925,Single,Female,40000,0,Partial College,Skilled Manual,Yes,1,5-10 Miles,North America,28,Yes,No,0.000674790004268289,11925,,,"","",""
22075,Married,Male,110000,3,Bachelors,Management,Yes,1,5-10 Miles,North America,44,No,No,0.000393374270061031,22075,,,"","",""
24940,Married,Male,60000,0,Bachelors,Management,Yes,2,10+ Miles,North America,66,No,No,5.66646049264818E-05,24940,,,"","",""
22151,Married,Male,10000,1,Partial High School,Clerical,Yes,2,5-10 Miles,Pacific,58,No,No,3.15502802550327E-05,22151,,,"","",""
25297,Single,Male,30000,0,Partial College,Clerical,Yes,1,2-5 Miles,Europe,32,No,No,0.00428718887269497,25297,9.28423,-34.71636,Antibes,41323,France
20124,Married,Female,40000,0,Graduate Degree,Skilled Manual,Yes,0,0-1 Miles,North America,33,No,No,0.00489587942138314,20124,,,"","",""
19759,Married,Female,60000,0,Partial College,Skilled Manual,Yes,2,5-10 Miles,North America,30,No,No,0.000251380261033773,19759,,,"","",""
12530,Single,Female,40000,4,Partial College,Clerical,Yes,2,0-1 Miles,North America,34,No,No,0.000900684623047709,12530,,,"","",""
29226,Single,Female,60000,0,Graduate Degree,Management,Yes,2,5-10 Miles,North America,72,No,No,7.25661811884493E-05,29226,-13.77889,-172.25933,"","",""
26132,Single,Female,70000,0,Bachelors,Professional,No,1,5-10 Miles,Pacific,42,No,No,0.000514440645929426,26132,,,"","",""
11889,Single,Male,60000,0,Bachelors,Professional,Yes,1,2-5 Miles,North America,48,No,No,0.00448109908029437,11889,,,"","",""
22620,Single,Female,50000,0,Graduate Degree,Skilled Manual,No,0,0-1 Miles,Europe,37,Yes,Yes,0.828734815120697,22620,-11.08475,55.52304,Rothesay,W2C 3YS,United Kingdom
21722,Married,Male,60000,0,Graduate Degree,Skilled Manual,Yes,0,1-2 Miles,North America,47,No,No,0.00738643622025847,21722,,,"","",""
12895,Married,Female,50000,1,Bachelors,Skilled Manual,Yes,0,0-1 Miles,North America,36,No,No,0.00793801713734865,12895,,,"","",""
24369,Married,Female,80000,5,Graduate Degree,Management,No,2,0-1 Miles,Pacific,39,No,No,7.58666064939462E-05,24369,,,"","",""
19178,Single,Female,20000,0,Partial High School,Manual,No,2,0-1 Miles,Europe,34,No,No,0.000265516777290031,19178,43.70553,-85.48894,Dreux,37851,France
11951,Married,Female,40000,0,Partial College,Skilled Manual,Yes,2,5-10 Miles,Pacific,54,No,No,0.0215237624943256,11951,,,"","",""
18114,Single,Female,70000,1,Partial High School,Skilled Manual,Yes,2,10+ Miles,North America,54,No,No,0.00257831555791199,18114,,,"","",""
23824,Married,Male,40000,0,Graduate Degree,Skilled Manual,Yes,0,1-2 Miles,North America,33,No,No,0.0426993556320667,23824,,,"","",""
12235,Married,Female,30000,0,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,68,No,No,3.88174848922063E-05,12235,65.65251,-172.44253,Greifswald,66802,Germany
18495,Single,Male,120000,1,Bachelors,Management,Yes,4,2-5 Miles,Pacific,48,Yes,No,0.265182971954346,18495,,,"","",""
